	train_cohort	test_cohort	ROC	PRC	F1	ACC	MCC	mode	best_C
62	Hugo	Snyder	0.32653061224489793	0.2451321078670703	0.2222222222222222	0.3333333333333333	-0.337099931231621	CTL	0.1
63	Hugo	Zhao	0.5454545454545454	0.5363481976087521	0.4799999999999999	0.48	-0.025974025974025976	CTL	0.1
64	IMVigor210	Allen	0.6715976331360947	0.501631763214827	0.4827586206896552	0.6153846153846154	0.18430244519362143	CTL	0.1
65	IMVigor210	Choueiri	0.717948717948718	0.26011904761904764	0.4444444444444444	0.6875	0.28941438070815306	CTL	0.1
66	IMVigor210	Gide	0.812878787878788	0.8574204685297185	0.7323943661971831	0.7397260273972602	0.5019187686364668	CTL	0.1
67	IMVigor210	Hugo	0.4226190476190476	0.49340011649152465	0.4	0.4230769230769231	-0.14414999403128945	CTL	0.1
68	IMVigor210	IMVigor210	0.5817774936061382	0.27659686019697366	0.37254901960784315	0.5704697986577181	0.11183609989948151	CTL	0.1
69	IMVigor210	IMmotion150	0.6887464387464387	0.4205906141173571	0.5333333333333333	0.6606060606060606	0.2974428693300131	CTL	0.1
70	IMVigor210	Kim	0.7676767676767676	0.6250148063517863	0.5161290322580646	0.6666666666666666	0.2984440079997103	CTL	0.1
71	IMVigor210	Liu	0.5517368810051737	0.46673480298317094	0.4318181818181818	0.5327102803738317	0.038372263225419215	CTL	0.1
72	IMVigor210	MGH	0.48863636363636365	0.42264065529107425	0.5185185185185186	0.6176470588235294	0.21144800897557345	CTL	0.1
73	IMVigor210	Miao	0.5	0.2666575091575092	0.3636363636363636	0.5882352941176471	0.06356417261637282	CTL	0.1
74	IMVigor210	Riaz	0.6292682926829268	0.4169181179826017	0.30303030303030304	0.5490196078431373	0.04865249835436819	CTL	0.1
75	IMVigor210	Rose	0.6207191780821919	0.2526932947591305	0.34615384615384615	0.6179775280898876	0.1507203561005814	CTL	0.1
76	IMVigor210	SU2CLC1	0.6171875	0.4738980217597379	0.5348837209302326	0.6078431372549019	0.20790800882019658	CTL	0.1
77	IMVigor210	SU2CLC2	0.4191176470588235	0.38292408410732715	0.33333333333333326	0.52	-0.03500700210070025	CTL	0.1
78	IMVigor210	Snyder	0.673469387755102	0.44017851405069447	0.588235294117647	0.6666666666666666	0.337099931231621	CTL	0.1
79	IMVigor210	Zhao	0.45454545454545453	0.4649976124123202	0.45454545454545453	0.52	0.025974025974025976	CTL	0.1
